cnpj_cpf_cliente,referencia,referencia_busca_cliente,data_primeiro_vencimento,dia_vencimento,descricao,numero,codigo_vendedor,data_vigencia_inicial,data_vigencia_final,situacao,recorrencia,tipo_faturamento,indice_reajuste,codigo_banco_conta,codigo_forma_pagamento,codigo_plano_contas,codigo_condicao_pagamento,observacao_fiscal,observacao_nao_fiscal,data_proximo_reajuste,servicos.referencia,servicos.quantidade,servicos.valor_unitario,servicos.complemento,tipo_desconto_boleto_ate_vencimento,valor_desconto_boleto_ate_vencimento,id_importacao_pessoa,Mensagem,Id
,476,1,30/06/2025,30,,689,22,30/12/2021,30/12/2021,,1,0,0,3,5,7,0,,,,122,1,"48,12",,0,0,7398,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,476,1,15/06/2025,15,,689,22,01/09/2022,,,1,0,0,3,5,7,0,,,03/09/2025,95,20,"33,32",,0,0,7398,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,476,1,15/06/2025,15,,689,22,01/08/2023,,,1,0,0,3,5,7,0,,,01/08/2025,123,1,"51,91",,0,0,7398,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,476,1,15/06/2025,15,,689,22,01/08/2023,,,1,0,0,3,5,7,0,,,01/08/2025,31,21,"20,76",,0,0,7398,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,476,1,15/06/2025,15,,689,22,05/08/2023,,,1,0,0,3,5,7,0,,,01/08/2025,4,1,"155,73",,0,0,7398,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,476,1,21/06/2025,21,,689,22,21/11/2023,22/12/2023,,1,0,0,3,5,7,0,,,,14,1,1000,,0,0,7398,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,544,1,20/06/2025,20,,760,17,01/07/2019,,,1,1,0,2,5,133,0,,,02/07/2025,4,2,"187,56",,0,0,6362,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,544,1,20/06/2025,20,,760,17,01/07/2023,,,1,1,0,2,5,133,0,,,02/07/2025,116,1,"40,98",,0,0,6362,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,544,1,20/06/2025,20,,760,17,20/04/2025,,,1,1,0,2,5,133,0,,,,95,2,50,,0,0,6362,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,544,1,20/06/2025,20,,760,17,20/04/2025,,,1,1,0,2,5,133,0,,,,117,2,"0,01",,0,0,6362,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
